symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",797468
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",29989
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1341439
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",75362
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",76334
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",891024
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",1633917
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Worsley, UK",77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",77476
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",78003
PCG,PG&E Corp.,Utilities,MultiUtilities,"San Francisco, California",1004980
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1534701
PNW,Pinnacle West Capital,Utilities,MultiUtilities,"Phoenix, Arizona",764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1038357
PBI,Pitney-Bowes,Industrials,"Technology, Hardware, Software and Supplies","Stamford, Connecticut",78814
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1037038
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",79879
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",884905
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",1075531
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661
PLD,Prologis,Real Estate,REITs,"San Francisco, California",1045609
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey",1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",788784
PSA,Public Storage,Real Estate,REITs,"Glendale, California",1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",78239
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",1604778
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas",1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",804328
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey",1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",315852
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1047122
O,Realty Income Corporation,Real Estate,REITs,"San Diego, California",726728
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",1087423
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",872589
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama",1281761
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona",1060391
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",1275283
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",1024478
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",1137411
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida",85961
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",1108524
SCG,SCANA Corp,Utilities,MultiUtilities,"Cayce, South Carolina",754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",1430602
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",1137789
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",1012100
SRE,Sempra Energy,Utilities,MultiUtilities,"San Diego, California",1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",89800
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",832988
SPG,Simon Property Group Inc,Real Estate,REITs,"Indianapolis, Indiana",1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",4127
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",91440
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",92380
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]",7332
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1373835
SPGI,"S&P Global, Inc.",Financials,Diversified Financial Services,"New York, New York",64040
STJ,St Jude Medical,Health Care,Health Care Equipment,"Little Canada, Minnesota",203077
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",829224
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",93751
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",861878
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",750556
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",849399
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",1601712
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",96021
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland",1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",1385157
TGNA,"Tegna, Inc.",Consumer Discretionary,Publishing,"McLean, Virginia",39899
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",50104
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island",217346
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",711404
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",98246
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,"New York, New York",1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,"New York, New York",1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1403568
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UAA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",100885
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",5513
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",912615
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",203527
VTR,Ventas Inc,Real Estate,REITs,"Chicago, Illinois",740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",875320
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",1403161
VNO,Vornado Realty Trust,Real Estate,REITs,"New York, New York",899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1618921
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",1001039
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",823768
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1000697
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",72971
HCN,Welltower Inc.,Real Estate,REITs,"Toledo, Ohio",766704
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",1365135
WRK,WestRock Company,Materials,Paper Packaging,"Richmond, Virginia",1636023
WY,Weyerhaeuser Corp.,Real Estate,REITs,"Federal Way, Washington",106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",865436
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1140536
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1174922
XEL,Xcel Energy Inc,Utilities,MultiUtilities,"Minneapolis, Minnesota",72903
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services,"Norwalk, Connecticut",108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",875159
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280
